0,17.0,23.0,20.0,27.0,2.0,3.0,7.0,-3.0,-20.0,61.0,207.0,-0.032
1,32.0,31.0,41.0,39.0,11.0,7.0,-21.0,3.0,-17.0,62.0,-746.0,-0.112
2,47.0,39.0,59.0,51.0,20.0,14.0,-44.0,7.0,-9.0,66.0,461.0,-0.116
3,54.0,45.0,67.0,59.0,26.0,21.0,-50.0,-4.0,2.0,69.0,723.0,-0.124
4,53.0,44.0,68.0,59.0,,22.0,,,13.0,73.0,-948.0,-0.151
5,46.0,40.0,61.0,54.0,29.0,19.0,-46.0,-4.0,23.0,77.0,4.0,-0.147
6,34.0,38.0,47.0,,22.0,19.0,-51.0,12.0,30.0,79.0,1001.0,-0.148
7,,38.0,34.0,52.0,17.0,20.0,,8.0,36.0,81.0,-577.0,-0.15
8,14.0,35.0,29.0,50.0,,20.0,-60.0,1.0,40.0,82.0,-577.0,-0.146
9,13.0,33.0,25.0,52.0,15.0,22.0,-60.0,8.0,42.0,83.0,967.0,-0.138
10,10.0,35.0,22.0,56.0,15.0,28.0,-61.0,-1.0,43.0,,-7.0,-0.123
11,5.0,,20.0,,17.0,31.0,,-14.0,,83.0,-962.0,-0.099
12,1.0,,14.0,51.0,17.0,31.0,-60.0,-4.0,41.0,82.0,607.0,-0.075
13,,27.0,5.0,43.0,15.0,31.0,-62.0,0.0,40.0,82.0,622.0,-0.06
14,-9.0,21.0,-2.0,30.0,14.0,,-63.0,-3.0,40.0,81.0,-935.0,-0.03
15,-7.0,15.0,-4.0,19.0,13.0,19.0,-62.0,6.0,39.0,80.0,1.0,0.016
16,-3.0,10.0,-7.0,11.0,9.0,13.0,-61.0,,37.0,79.0,981.0,0.045
17,-4.0,10.0,-12.0,7.0,,13.0,-60.0,-2.0,36.0,79.0,-556.0,0.052
18,-10.0,11.0,-22.0,3.0,1.0,17.0,-60.0,-10.0,35.0,78.0,-560.0,0.053
19,-19.0,8.0,-36.0,-7.0,-2.0,18.0,-60.0,2.0,33.0,77.0,983.0,0.053
20,-29.0,1.0,-49.0,-22.0,-8.0,13.0,-63.0,7.0,31.0,76.0,1.0,0.048
21,-33.0,-3.0,-53.0,-36.0,-12.0,,-62.0,-1.0,30.0,,-936.0,0.05
22,-25.0,-3.0,-48.0,-43.0,-12.0,-3.0,-56.0,-9.0,27.0,75.0,629.0,0.061
23,-18.0,-3.0,-43.0,-45.0,-13.0,-6.0,-50.0,-4.0,26.0,75.0,601.0,0.058
24,-18.0,-7.0,-42.0,-49.0,-15.0,-10.0,-48.0,2.0,25.0,74.0,-962.0,0.052
25,-19.0,-12.0,-41.0,-52.0,-18.0,-17.0,-46.0,1.0,23.0,74.0,16.0,0.055
26,,-12.0,-41.0,,-22.0,-22.0,-46.0,0.0,22.0,73.0,959.0,0.052
27,-19.0,-7.0,-40.0,-43.0,-27.0,-24.0,-47.0,3.0,21.0,,-610.0,0.045
28,-20.0,0.0,-37.0,-37.0,,-24.0,-49.0,12.0,21.0,73.0,-563.0,0.048
29,-20.0,4.0,-39.0,-31.0,-35.0,-24.0,-52.0,5.0,20.0,72.0,983.0,0.045
30,,4.0,-41.0,-31.0,-43.0,-28.0,-56.0,-13.0,20.0,72.0,-9.0,
31,-25.0,2.0,-42.0,-32.0,-49.0,-34.0,-57.0,-11.0,19.0,71.0,-921.0,0.023
32,-24.0,4.0,-42.0,-30.0,-51.0,-36.0,-55.0,1.0,18.0,71.0,647.0,0.027
33,-22.0,8.0,-40.0,-24.0,-50.0,-34.0,-54.0,-2.0,17.0,70.0,603.0,0.023
34,-23.0,9.0,-38.0,-22.0,-48.0,-33.0,-56.0,3.0,17.0,69.0,-952.0,0.021
35,-23.0,5.0,-36.0,-25.0,-44.0,-34.0,,10.0,16.0,69.0,37.0,0.049
36,-21.0,0.0,-33.0,-27.0,-36.0,-34.0,,-4.0,15.0,68.0,964.0,0.082
37,-24.0,-5.0,-32.0,-30.0,-27.0,-32.0,-46.0,-4.0,15.0,67.0,-611.0,0.042
38,-33.0,-13.0,-38.0,-36.0,-22.0,-32.0,-45.0,8.0,15.0,66.0,-562.0,-0.134
39,-41.0,,-48.0,-46.0,-20.0,-33.0,-48.0,9.0,14.0,66.0,964.0,-0.472
40,,-39.0,,-61.0,-19.0,-38.0,,7.0,14.0,65.0,-59.0,-0.924
41,-61.0,-56.0,-67.0,-77.0,-19.0,-43.0,-59.0,-6.0,14.0,64.0,-975.0,-1.318
42,-67.0,-66.0,-73.0,-85.0,-21.0,-44.0,-66.0,-14.0,13.0,63.0,613.0,-1.398
43,-68.0,-64.0,-74.0,-81.0,-22.0,-36.0,-70.0,0.0,13.0,62.0,573.0,-1.019
44,-62.0,-55.0,-65.0,-71.0,-17.0,-25.0,-66.0,0.0,13.0,61.0,-955.0,-0.433
45,-52.0,-46.0,-51.0,-59.0,-11.0,-17.0,-61.0,-13.0,12.0,61.0,74.0,-0.057
46,-43.0,-39.0,-43.0,-49.0,-12.0,,-60.0,-2.0,11.0,60.0,986.0,0.064
47,-39.0,-35.0,-34.0,-40.0,-15.0,-16.0,-61.0,11.0,11.0,59.0,,0.138
48,-34.0,-27.0,-26.0,-28.0,,-15.0,-64.0,6.0,10.0,58.0,-527.0,0.229
49,-27.0,-15.0,-19.0,-13.0,-23.0,-10.0,-67.0,,9.0,56.0,986.0,0.277
50,-17.0,-7.0,-9.0,-1.0,-22.0,-6.0,-66.0,4.0,9.0,55.0,-53.0,0.292
51,-8.0,-3.0,2.0,5.0,-18.0,-5.0,-64.0,-5.0,9.0,54.0,-947.0,0.306
52,-1.0,-2.0,8.0,8.0,-15.0,-5.0,-62.0,-12.0,8.0,53.0,632.0,0.313
53,3.0,-3.0,11.0,7.0,-12.0,-5.0,-60.0,-2.0,7.0,52.0,549.0,0.31
54,4.0,-4.0,13.0,6.0,-7.0,-3.0,-56.0,6.0,7.0,50.0,-990.0,0.297
55,6.0,-6.0,14.0,4.0,0.0,-2.0,-53.0,0.0,6.0,49.0,30.0,0.284
56,8.0,-10.0,14.0,-1.0,4.0,-3.0,-50.0,-2.0,5.0,48.0,928.0,0.273
57,7.0,-9.0,12.0,-4.0,5.0,-2.0,-50.0,6.0,4.0,46.0,-639.0,0.259
58,5.0,0.0,11.0,3.0,3.0,5.0,-54.0,8.0,4.0,44.0,-543.0,0.249
59,8.0,12.0,13.0,15.0,0.0,,-58.0,-2.0,3.0,43.0,1006.0,0.24
60,14.0,22.0,21.0,27.0,1.0,20.0,-59.0,-7.0,2.0,41.0,-35.0,0.224
61,21.0,28.0,31.0,36.0,4.0,22.0,-59.0,2.0,2.0,,,
62,28.0,31.0,39.0,43.0,6.0,22.0,-57.0,6.0,0.0,38.0,655.0,0.2
63,34.0,35.0,46.0,52.0,8.0,24.0,-55.0,-5.0,-1.0,36.0,552.0,0.184
64,38.0,41.0,53.0,61.0,14.0,30.0,-53.0,-10.0,-2.0,34.0,-979.0,0.168
65,38.0,44.0,56.0,68.0,19.0,35.0,-53.0,0.0,-3.0,,60.0,0.165
66,37.0,44.0,53.0,71.0,20.0,36.0,-55.0,-3.0,-5.0,31.0,936.0,0.158
67,31.0,41.0,,68.0,20.0,34.0,-56.0,-3.0,-6.0,29.0,-652.0,0.142
68,25.0,35.0,43.0,61.0,20.0,30.0,-57.0,13.0,-7.0,28.0,-540.0,0.131
69,25.0,,,53.0,20.0,,-52.0,12.0,-9.0,26.0,972.0,0.119
